id,name,rating,hours,year,desc_preview
9NMNMS626R59,UnknownID_9NMNMS626R59,62.0,,,Опис недоступний / No description.
BSLX1RNXR6H7,Batman™: Arkham Knight,88.0,17.04,2015,"🎮 Microsoft StoreIn the explosive finale to the Arkham series, The Scarecrow returns to unite an impressive roster of super villains, including Penguin, Two-Face and Harley Quinn. Batman: Arkham Knigh"
9N3M5D5ZSW34,UnknownID_9N3M5D5ZSW34,96.0,,,Опис недоступний / No description.
9P7X7VL05K48,UnknownID_9P7X7VL05K48,0.0,,,Опис недоступний / No description.
BX03760D0QGN,UnknownID_BX03760D0QGN,88.0,,,Опис недоступний / No description.
9PNGFSX7S117,Call of Duty®: Modern Warfare® II - Cross-Gen Bundle,68.0,,,"🎮 Microsoft StoreIncludes:

- Cross Gen Bundle of Call of Duty®: Modern Warfare® II
-- Includes Xbox One and Xbox Series X|S versions of the game

Call of Duty®: Modern Warfare® II drops players into "
C1WRX8ZD77M9,Watch Dogs®: Legion,64.0,18.18,2020,"🎮 Microsoft StoreBuild a resistance made from anyone in the world to take back a near-future London that is facing its downfall. Recipient of over 65 E3 awards and nominations.

Recruit and play as an"
BV0K9LMLQ9W5,Halo: Spartan Assault,94.0,4.14,,"🎮 Microsoft StoreHalo: Spartan Assault is a fast paced top-down shooter set during the timeline between “Halo 3” and “Halo 4,” progress your Spartan career as you engage in over 30 exciting Campaign m"
C27QL5JBKQ8M,UnknownID_C27QL5JBKQ8M,94.0,,,Опис недоступний / No description.
C3QWNCV55VLL,skate. (2007),0.0,11.31,,🎮 Microsoft Store(Online Interactions Not Rated by the ESRB) This game supports English only. Download the manual for this game by locating the game on http://marketplace.xbox.com and selecting “See G
9PB5JN044BHZ,The Crew Motorfest - Xbox One,56.0,,,"🎮 Microsoft StoreWelcome to Motorfest, the ultimate gathering for all car lovers.

Join drivers from all around the world and fulfill your greatest action driving fantasies. Come explore Hawaii and di"
BV2ZVP7PJZWL,Far Cry® 3 Classic Edition,52.0,15.93,2018,"🎮 Microsoft Store(Re-)experience Far Cry® 3 Classic Edition. Create your own adventure in a single-player, open world island of danger and discovery as you journey through the dark side of humanity.

"
C5JGRR1LFVW8,State of Decay: Year-One,80.0,17.53,,"🎮 Microsoft StoreState of Decay: Year-One brings the hit zombie survival-fantasy franchise to Xbox One. Delivered in beautifully remastered 1080p, along with improved lighting, textures, animations, a"
9NR7XDNVP5SW,UnknownID_9NR7XDNVP5SW,90.0,,,Опис недоступний / No description.
BZ2N7TQ0XCF2,UnknownID_BZ2N7TQ0XCF2,86.0,,,Опис недоступний / No description.
